Key,he,en,ar
DOT_1_HEADER,התחלה וזיכרון ילדות ראשון,Birth and earliest childhood memory,البداية وذكرى أولى للطفولة
DOT_1_TEXT,"לאונרדו נולד בעיירה וינצ'י שבטוסקנה ב-15 לאפריל 1452, לפיירו דה וינצ'י וקתרינה ליפי.
לאונרדו נזכר בכתביו, שכשהיה תינוק נחתה ציפור על עריסתו ופתחה את פיו בזנבה.
זיכרון זה היווה ללאונרדו אות וסימן לעיסוקו הנרחב בציפורים ותעופה.","Leonardo was born in the town of Vinci in Tuscany on April 15th, 1452, to Piero da Vinci and Caterina di Lippi.
In his writings Leonardo mentions that when he was a baby, a bird landed on his cradle and opened his mouth with its tail.
Leonardo viewed this memory as a sign, anticipating  his lifelong interest in birds and  aviation.","وُلِد ليوناردو في بلدة فينشي في توسكانا في 15 أبريل 1452، لبييرو دا فينشي وكاثرين ليبي.
يذكر ليوناردو في كتاباته أنه عندما كان طفلاً، حطَّ طائر على سريره وفتح فمه بذيله.
كانت هذه الحادثة بالنسبة لليوناردو علامة وإشارة له لممارسته الواسعة في الطيور والطيران."
DOT_2_HEADER,זיכרון ילדות שני ורמז לסקרנות,Second childhood memory and early curiosity ,ذكرى طفولة ثانية ورمز للفضول
DOT_2_TEXT,"בילדותו נהג לאונרדו לשוטט לבדו בטבע שסביב וינצ'י בה גדל.
בכתביו הוא מתאר שבאחד משיטוטיו הגיע לפתח מערה, ולמרות שחשש להיכנס לבדו למקום החשוך והלא מוכר,
בזכות סקרנותו, אזר אומץ להיכנס ולבדוק מה צפון בה. בתוכה גילה מאובן של דג גדול.","As a child Leonardo would explore the natural landscape around Vinci where he grew up. In his writings he describes that 
while wandering he came across a cave. Although he was scared of entering a dark and unfamiliar place by himself, 
he was so curious to find out what it held that he went in despite his fear. Inside, Leonardo found a fossil of a large fish.","كطفل، إعتاد ليوناردو أن يتجول وحده في البرية. يصف في كتاباته أنه وصل في أحد تجوالاته الى
مدخل كهفٍ وعلى الرغم من أنه كان يخشى الدخول بمفرده الى المكان المظلم والمجهول،
بفضل فضوله، كانت لديه الشجاعة لاكتشاف ما كان يختبئ فيه ووجد فيه أحفورة لسمكة كبيرة هناك."
DOT_3_HEADER,מַעֲבָר לפִירֶנְצֶה,Move to Florence,الإنتقال لفلورنسا
DOT_3_TEXT,"בגיל 12 עבר לאונרדו לגור בפירנצה עם אביו פיירו שהיה נוטריון מכובד.
כיוון שהוריו לא היו נשואים נמנעה מלאונרדו קבלה למוסדות חינוך מתקדמים, ובגיל 14 נהיה שׁוּלְיָה
בבית המלאכה של אנדראה דל וורוקיוֹ. שם שָׁקַד על כישוריו בתחומי הציור, ההנדסה ומלאכוֹת נוספות.","At the age of twelve, Leonardo moved to Florence to his father Piero, a respected notary. As his parents were not married,
Leonardo was barred from institutes of formal education and at the age of 14 he became an apprentice at the workshop
of Andrea del Verrocchio. There, he studiously developed his skills in painting, sculpting and other crafts.","في سن الثانية عشرة، إنتقل ليوناردو مع والده بييرو، وهو كاتب عدل محترم الى فلورنسا. نظراً لأن والديه
لم يكونا متزوجين، فقد تم رفض ليوناردو من الالتحاق بالمؤسسات التعليمية المتقدمة، وأصبح في الرابعة عشرة من
 عمره متدرباً في ورشة أندريا ديل واروشيو، حيث إستمد مهاراته في الرسم والهندسة والحِرف الأخرى."
DOT_4_HEADER,אומן בבית המלאכה של וורוקיוֹ,Artisan in Verrocchio’s workshop,فنان في ورشة فروكيو
DOT_4_TEXT,"לבית המלאכה של אנדראה דל וורוקיו, כמו לבתי מלאכה אחרים בתקופת הרנסנס, היו יכולות טכניות מגוונות.
במסגרת עבודתו בבית המלאכה השתתף לאונרדו בהתקנת כדור מתכתי מוזהב שמעטר עד היום את כיפת הקתדרלה בפירנצה.
ההתקנה בשנת 1469 הייתה מאתגרת, שֶׁכֵּן היה צריך להרים את הכדור לגובה של יותר ממאה מטרים.","Andrea del Verrocchio’s workshop, similar to other workshops during the Renaissance, employed varied technical skills.
As part of his work at the workshop, in 1469, Leonardo helped install the gilded metal sphere that decorated the dome 
of the Florentine cathedral. Installing the sphere was a challenge, as the it had to be lifted to a height of over 100 meters.","كانت ورشة عمل أندريا دل فروكيو مثل غيرها من ورشات النهضة، ذات قدرات تقنية متنوعة.
كجزء من عمله في ورشة العمل، شارك ليوناردو في تركيب كرة معدنية ذهبية تزين قبة الكاتدرائية في فلورنسا.
يعتبر تركيب القبة في عام 1469 أمرا صعباً ومركباً، حيث كان يجب رفع الكرة إلى علوٍ يزيد عن الـ 100 متر."
DOT_5_HEADER,"ציור ""הבשׂורה""",Painting The Annunciation,"رسمة ""البشارة"""
DOT_5_TEXT,"בין השנים 1475-1472 צייר לאונרדו את ""בשׂוֹרת המלאך למרים"", שהיה אחד הציורים הראשונים המיוחסים לו.
כיום מוצג הציור בגלריה אוּפִיצִי שבפירנצה. מידותיהם של אלמנטים מסוימים בציור מותאמות
להתבוננות מנקודת מבט מסוימת (מצד ימין) כפי שתוכלו ללמוד במוצג ""למה האף גדול?"".","Between the years 1472 and 1475 Leonardo painted ""The Annunciation"", one of his earliest paintings. The painting is currently
displayed at the Uffizi gallery in Florence. The dimensions of certain elements in the painting are intended for viewing from
a certain viewpoint (on the right), as you can learn about in the Exhibit ""Why is your nose so big?""","من عام 1472 إلى 1475 رسم ليوناردو بشارة الملاك للسيدة العذراء والتي كانت أولى اللوحات المنسوبة إليه.
اليوم، يتم عرض اللوحة في معرض أوفيزي في فلورنسا. مقاييس بعض الأغراض في الرسمة ملائمة للنظر إليها
من جهة معينة (من اليمين) كما يمكنكم أن تلاحظوا في المعروضة."
